Year,SDG Series,Reference area,Sex,Degree of urbanisation,Value
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],North East,,Urban,80.4
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],North East,Male,Urban,81.1
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],North East,Female,Urban,75.1
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],North East,,Rural,92.1
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],North East,Male,Rural,94.5
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],North East,Female,Rural,76.3
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper East,,,91.5
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper East,Male,,93.8
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper East,Female,,86.4
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper East,,Urban,83.9
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper East,Male,Urban,84.3
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper East,Female,Urban,82.8
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper East,,Rural,92.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper East,Male,Rural,95.4
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper East,Female,Rural,86.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper West,,,93.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper West,Male,,93.4
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper West,Female,,91.1
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper West,,Urban,77.3
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper West,Male,Urban,77.8
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper West,Female,Urban,75.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper West,,Rural,94.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper West,Male,Rural,95.1
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper West,Female,Rural,92.9
