Year,SERIES,Reference area,Sex,Degree of urbanisation,GeoCode,Value
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Savannah,Male,,13,98.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Savannah,Female,,13,96.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Savannah,,Urban,13,94.5
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Savannah,Male,Urban,13,95.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Savannah,Female,Urban,13,90.8
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Savannah,,Rural,13,98.2
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Savannah,Male,Rural,13,98.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Savannah,Female,Rural,13,96.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],North East,,,14,89.8
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],North East,Male,,14,91.8
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],North East,Female,,14,76.1
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],North East,,Urban,14,80.4
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],North East,Male,Urban,14,81.1
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],North East,Female,Urban,14,75.1
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],North East,,Rural,14,92.1
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],North East,Male,Rural,14,94.5
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],North East,Female,Rural,14,76.3
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper East,,,15,91.5
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper East,Male,,15,93.8
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper East,Female,,15,86.4
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper East,,Urban,15,83.9
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper East,Male,Urban,15,84.3
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper East,Female,Urban,15,82.8
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper East,,Rural,15,92.6
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper East,Male,Rural,15,95.4
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper East,Female,Rural,15,86.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper West,,,16,93.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper West,Male,,16,93.4
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper West,Female,,16,91.1
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper West,,Urban,16,77.3
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper West,Male,Urban,16,77.8
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper West,Female,Urban,16,75.0
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper West,,Rural,16,94.7
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper West,Male,Rural,16,95.1
2018,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],Upper West,Female,Rural,16,92.9
